 =======================================================================================================================
 Table: Nuclear properties of UNEDF1 model for B=3x10^16 G predicted by Skyrme3D code
 Authors: Wei jiang, Yan-jun Chen and Yu Guo
 Article: Symmetry energy effects on the outer crusts of non-accreting magnetars.   doi:???
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
 This is a highly detailed table predicting the properties of        3264 nuclides (Z = 26~124, N/A = 0.53~0.73)
 within the neutron drip line, including superheavy nuclei.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
     S1n     |     MeV      One-neutron separation energy
     S2n     |     MeV      two-neutron separation energy
-------------------------------------------------------------------
 
 
 -------------------------------------------------------------------------------------------------------------------
 
  Z=  26   Fe
 
 -------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
   32   51   83      704.840        4.300        4.000         4.22         0.06         36.7        4.270       10.220
   32   52   84      709.145        4.400        4.000         4.26         0.09         25.2        4.305        8.575
   32   53   85      712.945        4.400        4.100         4.28         0.09         26.2        3.800        8.105
   32   54   86      716.155        4.500        4.100         4.32         0.10         25.8        3.210        7.010
   32   55   87      719.545        4.500        4.100         4.35         0.10         51.1        3.390        6.600
   32   56   88      722.575        4.500        4.100         4.38         0.11         55.3        3.030        6.420
   32   57   89      726.145        4.600        4.100         4.42         0.13         59.8        3.570        6.600
   32   58   90      728.705        4.600        4.200         4.46         0.15         60.0        2.560        6.130
   32   59   91      731.325        4.700        4.100         4.47         0.13         45.2        2.620        5.180
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  33   As
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   33   40   73      636.495        4.100        4.000         4.02         0.00         49.4                          
   33   41   74      645.400        4.100        4.000         4.04         0.03         43.2        8.905             
   33   42   75      653.800        4.100        4.000         4.06         0.05         35.5        8.400       17.305
   33   43   76      662.510        4.200        4.000         4.08         0.08          0.9        8.710       17.110
   33   44   77      670.675        4.200        4.000         4.11         0.10          0.0        8.165       16.875
   33   45   78      679.380        4.200        4.000         4.13         0.10          0.0        8.705       16.870
   33   46   79      687.065        4.200        4.000         4.15         0.11          0.0        7.685       16.390
   33   47   80      694.725        4.200        4.000         4.16         0.10          0.1        7.660       15.345
   33   48   81      701.530        4.300        4.000         4.18         0.09          0.5        6.805       14.465
   33   49   82      707.445        4.300        4.000         4.18         0.03         33.8        5.915       12.720
   33   50   83      713.810        4.300        4.000         4.20         0.02         59.5        6.365       12.280
   33   51   84      718.755        4.300        4.100         4.23         0.05         37.6        4.945       11.310
   33   52   85      723.335        4.400        4.100         4.26         0.08         26.7        4.580        9.525
   33   53   86      727.565        4.400        4.100         4.29         0.09         25.0        4.230        8.810
   33   54   87      731.335        4.500        4.100         4.32         0.10         24.1        3.770        8.000
   33   55   88      734.930        4.500        4.100         4.35         0.10         48.8        3.595        7.365
   33   56   89      738.395        4.500        4.100         4.38         0.11         51.7        3.465        7.060
   33   57   90      742.365        4.600        4.100         4.42         0.13         59.9        3.970        7.435
   33   58   91      745.560        4.600        4.200         4.46         0.15         60.0        3.195        7.165
   33   59   92      748.565        4.600        4.200         4.47         0.14         54.9        3.005        6.200
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  34   Se
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   34   40   74      643.370        4.100        4.000         4.03         0.00         25.3                          
   34   41   75      652.750        4.100        4.000         4.05         0.03         41.7        9.380             
   34   42   76      661.645        4.100        4.000         4.07         0.05         35.1        8.895       18.275
   34   43   77      671.180        4.200        4.000         4.09         0.07          1.5        9.535       18.430
   34   44   78      679.855        4.200        4.000         4.12         0.09          0.3        8.675       18.210
   34   45   79      689.180        4.200        4.000         4.14         0.10          0.1        9.325       18.000
   34   46   80      697.380        4.200        4.100         4.16         0.11          0.1        8.200       17.525
   34   47   81      705.690        4.200        4.100         4.17         0.10          0.2        8.310       16.510
   34   48   82      713.120        4.300        4.100         4.18         0.09          0.4        7.430       15.740
   34   49   83      720.010        4.300        4.100         4.19         0.01         42.5        6.890       14.320
   34   50   84      726.730        4.300        4.100         4.20         0.01         56.9        6.720       13.610
   34   51   85      731.960        4.300        4.100         4.23         0.05         37.6        5.230       11.950
   34   52   86      736.890        4.400        4.100         4.26         0.08         28.1        4.930       10.160
   34   53   87      741.465        4.400        4.100         4.29         0.08         24.0        4.575        9.505
   34   54   88      745.725        4.400        4.100         4.32         0.10         22.9        4.260        8.835
   34   55   89      749.585        4.500        4.100         4.35         0.10         47.3        3.860        8.120
   34   56   90      753.565        4.500        4.100         4.38         0.12         48.8        3.980        7.840
   34   57   91      757.805        4.600        4.200         4.42         0.13         60.0        4.240        8.220
   34   58   92      761.515        4.600        4.200         4.46         0.15         60.0        3.710        7.950
   34   59   93      764.910        4.600        4.200         4.47         0.14         57.1        3.395        7.105
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  35   Br
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   35   45   80      698.120        4.200        4.100         4.15         0.10          0.2                          
   35   46   81      706.950        4.200        4.100         4.17         0.10          0.1        8.830             
   35   47   82      715.865        4.200        4.100         4.18         0.09          0.2        8.915       17.745
   35   48   83      723.785        4.300        4.100         4.19         0.09          0.1        7.920       16.835
   35   49   84      731.220        4.300        4.100         4.19         0.01         47.2        7.435       15.355
   35   50   85      738.910        4.300        4.100         4.21         0.00         55.3        7.690       15.125
   35   51   86      744.340        4.300        4.100         4.24         0.04         35.8        5.430       13.120
   35   52   87      749.660        4.400        4.100         4.26         0.07         29.5        5.320       10.750
   35   53   88      754.600        4.400        4.100         4.29         0.08         21.7        4.940       10.260
   35   54   89      759.350        4.400        4.100         4.32         0.09         21.2        4.750        9.690
   35   78  113      823.410        5.100        4.400         4.88         0.09          3.9                          
