 =======================================================================================================================
 Table: Nuclear properties of UNEDF1 model for B=4*10^16 G predicted by Skyrme3D code
 Authors: Wei jiang, Yan-jun Chen and Yu Guo
 Article: Symmetry energy effects on the outer crusts of non-accreting magnetars.   doi:???
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
 This is a highly detailed table predicting the properties of 4601 nuclides (Z = 26~124, N/A = 0.53~0.73)
 within the neutron drip line, including superheavy nuclei.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
     S1n     |     MeV      One-neutron separation energy
     S2n     |     MeV      two-neutron separation energy
-------------------------------------------------------------------
 
 
 -------------------------------------------------------------------------------------------------------------------
 
  Z=  26   Fe
 
 -------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
   30   76  106      698.155        5.200        4.300         4.95         0.12          6.0       -1.670             
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  31   Ga
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   31   40   71      620.595        4.100        4.000         4.06         0.23          8.7                          
   31   41   72      628.060        4.100        3.900         4.00         0.02         14.0        7.465             
   31   42   73      635.030        4.100        3.900         4.03         0.05          5.3        6.970       14.435
   31   43   74      642.545        4.100        4.000         4.05         0.08          0.4        7.515       14.485
   31   44   75      649.525        4.200        4.000         4.08         0.10          0.4        6.980       14.495
   31   45   76      656.940        4.200        4.000         4.10         0.11          0.3        7.415       14.395
   31   46   77      663.445        4.200        4.000         4.12         0.12          0.2        6.505       13.920
   31   47   78      669.900        4.200        4.000         4.13         0.10          0.3        6.455       12.960
   31   48   79      675.520        4.200        4.000         4.15         0.09          0.8        5.620       12.075
   31   49   80      680.885        4.200        4.000         4.15         0.02         39.2        5.365       10.985
   31   50   81      685.105        4.300        4.000         4.20         0.11         41.7        4.220        9.585
   31   51   82      680.810        4.300        4.000         4.21         0.09         29.9       -4.295       -0.075
   31   52   83      693.790        4.300        4.000         4.23         0.09         39.5       12.980        8.685
   31   53   84      697.490        4.400        4.000         4.26         0.09         49.4        3.700       16.680
   31   54   85      699.315        4.400        4.000         4.28         0.08         56.3        1.825        5.525
   31   55   86      702.680        4.400        4.000         4.31         0.08         19.2        3.365        5.190
   31   56   87      703.655        4.500        4.100         4.34         0.07          3.3        0.975        4.340
   31   57   88      707.370        4.500        4.100         4.38         0.13         27.1        3.715        4.690
   31   58   89      708.110        4.600        4.100         4.41         0.13         38.9        0.740        4.455
   31   59   90      710.190        4.600        4.100         4.44         0.12         42.1        2.080        2.820
   31   60   91      711.215        4.600        4.100         4.47         0.12         45.4        1.025        3.105
   31   61   92      714.735        4.700        4.200         4.50         0.16         29.7        3.520        4.545
   31   62   93      714.235        4.700        4.200         4.55         0.15         32.6       -0.500        3.020
